"Node_Id","Logical_Node_Id","Agent_Type","Cpu_Cores_Count","Simd_Count","Cpu_Core_Id_Base","Simd_Id_Base","Max_Waves_Per_Simd","Lds_Size_In_Kb","Gds_Size_In_Kb","Num_Gws","Wave_Front_Size","Num_Xcc","Cu_Count","Array_Count","Num_Shader_Banks","Simd_Arrays_Per_Engine","Cu_Per_Simd_Array","Simd_Per_Cu","Max_Slots_Scratch_Cu","Gfx_Target_Version","Vendor_Id","Device_Id","Location_Id","Domain","Drm_Render_Minor","Num_Sdma_Engines","Num_Sdma_Xgmi_Engines","Num_Sdma_Queues_Per_Engine","Num_Cp_Queues","Max_Engine_Clk_Ccompute","Max_Engine_Clk_Fcompute","Sdma_Fw_Version","Fw_Version","Capability","Cu_Per_Engine","Max_Waves_Per_Cu","Family_Id","Workgroup_Max_Size","Grid_Max_Size","Local_Mem_Size","Hive_Id","Gpu_Id","Workgroup_Max_Dim_X","Workgroup_Max_Dim_Y","Workgroup_Max_Dim_Z","Grid_Max_Dim_X","Grid_Max_Dim_Y","Grid_Max_Dim_Z","Name","Vendor_Name","Product_Name","Model_Name"
0,0,"CPU",32,0,0,0,0,0,0,0,0,1,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,25,0,0,0,11402521231665732517,0,0,0,0,0,0,0,"AMD EPYC 7A53 64-Core Processor","CPU","AMD EPYC 7A53 64-Core Processor",""
1,1,"CPU",32,0,32,0,0,0,0,0,0,1,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,25,0,0,0,11402521231665732517,0,0,0,0,0,0,0,"AMD EPYC 7A53 64-Core Processor","CPU","AMD EPYC 7A53 64-Core Processor",""
2,2,"CPU",32,0,64,0,0,0,0,0,0,1,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,25,0,0,0,11402521231665732517,0,0,0,0,0,0,0,"AMD EPYC 7A53 64-Core Processor","CPU","AMD EPYC 7A53 64-Core Processor",""
3,3,"CPU",32,0,96,0,0,0,0,0,0,1,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,25,0,0,0,11402521231665732517,0,0,0,0,0,0,0,"AMD EPYC 7A53 64-Core Processor","CPU","AMD EPYC 7A53 64-Core Processor",""
4,4,"GPU",0,440,0,2147487744,8,64,0,64,64,1,110,8,8,1,14,4,32,90010,4098,29704,49408,0,128,2,3,8,24,2000,1700,9,100,3160908416,13,32,141,1024,4294967295,0,11402521231665732517,63582,1024,1024,1024,2147483647,65535,65535,"gfx90a","AMD","AMD Instinct MI250X","aldebaran"
5,5,"GPU",0,440,0,2147487856,8,64,0,64,64,1,110,8,8,1,14,4,32,90010,4098,29704,50688,0,129,2,3,8,24,2000,1700,9,100,3160908416,13,32,141,1024,4294967295,0,11402521231665732517,51740,1024,1024,1024,2147483647,65535,65535,"gfx90a","AMD","AMD Instinct MI250X","aldebaran"
6,6,"GPU",0,440,0,2147487968,8,64,0,64,64,1,110,8,8,1,14,4,32,90010,4098,29704,51456,0,130,2,3,8,24,2000,1700,9,100,3160908416,13,32,141,1024,4294967295,0,11402521231665732517,15961,1024,1024,1024,2147483647,65535,65535,"gfx90a","AMD","AMD Instinct MI250X","aldebaran"
7,7,"GPU",0,440,0,2147488080,8,64,0,64,64,1,110,8,8,1,14,4,32,90010,4098,29704,52736,0,131,2,3,8,24,2000,1700,9,100,3160908416,13,32,141,1024,4294967295,0,11402521231665732517,3099,1024,1024,1024,2147483647,65535,65535,"gfx90a","AMD","AMD Instinct MI250X","aldebaran"
8,8,"GPU",0,440,0,2147488192,8,64,0,64,64,1,110,8,8,1,14,4,32,90010,4098,29704,53504,0,132,2,3,8,24,2000,1700,9,100,3160908416,13,32,141,1024,4294967295,0,11402521231665732517,13395,1024,1024,1024,2147483647,65535,65535,"gfx90a","AMD","AMD Instinct MI250X","aldebaran"
9,9,"GPU",0,440,0,2147488304,8,64,0,64,64,1,110,8,8,1,14,4,32,90010,4098,29704,54784,0,133,2,3,8,24,2000,1700,9,100,3160908416,13,32,141,1024,4294967295,0,11402521231665732517,1553,1024,1024,1024,2147483647,65535,65535,"gfx90a","AMD","AMD Instinct MI250X","aldebaran"
10,10,"GPU",0,440,0,2147488416,8,64,0,64,64,1,110,8,8,1,14,4,32,90010,4098,29704,55552,0,134,2,3,8,24,2000,1700,9,100,3160908416,13,32,141,1024,4294967295,0,11402521231665732517,62036,1024,1024,1024,2147483647,65535,65535,"gfx90a","AMD","AMD Instinct MI250X","aldebaran"
11,11,"GPU",0,440,0,2147488528,8,64,0,64,64,1,110,8,8,1,14,4,32,90010,4098,29704,56832,0,135,2,3,8,24,2000,1700,9,100,3160908416,13,32,141,1024,4294967295,0,11402521231665732517,49174,1024,1024,1024,2147483647,65535,65535,"gfx90a","AMD","AMD Instinct MI250X","aldebaran"
